id,Nombre,municipio,Direccion,Zona,nivel_riesgo_genero,Latitud,Longitud,Telefono,Ley_Applicable,Protocolo
51,Edificio Héroes de la Revolución,Chihuahua,Calle Venustiano Carranza y Escorza colonia Centro,Centro,prioritario,28.6395,-106.0725,614-429-3300,Derecho a la Protección del Estado,Atención por personal de seguridad y enlace FEM
52,Edificio Eloy S. Vallina,Chihuahua,Calle Victoria #14 colonia Centro,Centro,prioritario,28.6380,-106.0735,614-429-3300,Derecho a la Protección del Estado,Atención por personal de seguridad y enlace FEM
53,Supremo Tribunal de Justicia,Chihuahua,Calle San Pedro colonia Centro,Centro,prioritario,28.6345,-106.0760,614-429-3300,Acceso a la Justicia y Seguridad,Resguardo y aviso inmediato a guardia de seguridad
54,Parque Central,Ciudad Juárez,Avenida Tecnológico y Teófilo Borunda,Zona Central,prioritario,31.6910,-106.4250,656-629-3300,Derecho a Espacios Públicos Seguros,Enlace con policía turística y resguardo
55,Centro Comunitario AltaVista,Ciudad Juárez,Calle Almoha y C. d. la Paz,Zona Poniente,prioritario,31.7315,-106.4850,656-611-4078,Derecho al Auxilio Comunitario,Resguardo y contacto con Instituto de la Mujer
56,Centro Comunitario Mezquital,Ciudad Juárez,Calle Mezquital y C. El Trébol,Zona Suroriente,prioritario,31.6420,-106.3890,656-611-4078,Derecho al Auxilio Comunitario,Resguardo y contacto con Instituto de la Mujer
57,Fiscalía Especializada de la Mujer (FEM),Ciudad Juárez,Boulevard Zaragoza #672,Zona Sur,prioritario,31.7185,-106.4310,656-629-3300,Ley General de Acceso a una Vida Libre de Violencia,Atención jurídica y psicológica inmediata
58,Instituto Municipal de las Mujeres (IMM),Ciudad Juárez,Avenida Francisco Villa #135,Zona Centro,prioritario,31.7380,-106.4815,656-611-4078,Ley General de Acceso a una Vida Libre de Violencia,Protocolo de acompañamiento y canalización
59,Presidencia Municipal Delicias,Delicias,Calle Central y Av. Agricultura,Zona Centro,prioritario,28.1925,-105.4711,639-470-8600,Derecho a la Seguridad Ciudadana,Resguardo en comandancia de presidencia
60,Centro Cultural Ciudad Victoria,Delicias,Avenida del Parque y Calle 2a Norte,Zona Centro,prioritario,28.1955,-105.4780,639-470-8600,Derecho a Espacios Seguros,Resguardo y aviso a seguridad municipal
61,DIF Municipal Delicias,Delicias,Calle Isidro Fabela s/n Col. Tierra y Libertad,Zona Centro,prioritario,28.1940,-105.4735,639-467-5129,Protección a la Familia y Género,Atención por personal de trabajo social
62,Presidencia Municipal de Cuauhtémoc,Cuauhtémoc,Calle 3a y Morelos s/n,Zona Centro,prioritario,28.4044,-106.8664,625-581-9200,Derecho al Auxilio Inmediato,Resguardo y enlace con Seguridad Pública
63,Comandancia de Seguridad Pública,Cuauhtémoc,Calle 16a y Ciénega Col. Centro,Zona Centro,prioritario,28.4110,-106.8620,911,Derecho a la Seguridad Pública,Atención policial y resguardo seguro
64,Dirección de Vialidad,Cuauhtémoc,Avenida Morelos y Calle 21a Col. Centro,Zona Centro,prioritario,28.3980,-106.8715,625-581-9200,Seguridad en la Vía Pública,Resguardo y patrullaje de apoyo
65,DIF Municipal Cuauhtémoc,Cuauhtémoc,Avenida de las Aguilas y Calle 80 Col. Tierra Nueva,Tierra Nueva,prioritario,28.4065,-106.8690,625-582-1066,Derecho a la Asistencia Social,Protección y canalización a Instituto de la Mujer
66,Instituto Municipal de las Mujeres,Cuauhtémoc,Calle Rayon e Interseccionn con Calle 3a,Zona Centro,prioritario,28.4020,-106.8645,625-128-1100,Ley de Acceso a una Vida Libre de Violencia,Acompañamiento legal y refugio temporal
67,Presidencia Seccional Álvaro Obregón,Cuauhtémoc,Calle Cuarta y Aldama,Seccional Rubio,prioritario,28.4230,-106.7450,625-584-0015,Derecho a la Protección Rural,Resguardo por policía seccional
68,Presidencia Seccional Lázaro Cárdenas,Cuauhtémoc,Calle Principal s/n Seccional Lázaro Cárdenas,Seccional Lázaro Cárdenas,prioritario,28.5950,-106.9810,625-581-9200,Derecho a la Protección Rural,Resguardo por policía seccional
69,CECyTECH Cuauhtémoc,Cuauhtémoc,Calle 94 y Aguilas Col. Tierra Nueva,Tierra Nueva,prioritario,28.4150,-106.8580,625-112-2976,Derecho a la Seguridad Estudiantil,Activación de alerta escolar y resguardo
70,Instancia de la Mujer Parral,Parral,Calle 20 de Noviembre s/n Col. Centro,Zona Centro,prioritario,26.9312,-105.6615,627-522-0167,Ley de Acceso a una Vida Libre de Violencia,Atención psicológica y enlace FEM
71,Presidencia Municipal de Parral,Parral,Calle Francisco Miranda y República de Cuba,Zona Centro,prioritario,26.9332,-105.6660,627-527-4100,Derecho a la Seguridad Ciudadana,Resguardo en portal de seguridad
72,Comandancia de Policía Municipal (Zona Norte),Parral,Calle Unión s/n Col. Bulevar,Zona Norte,prioritario,26.9215,-105.6580,911,Seguridad y Protección Civil,Atención inmediata por oficiales de guardia
73,Gimnasio Auditorio Municipal,Parral,Calle Federico Stallforth s/n Zona Centro,Zona Centro,prioritario,26.9380,-105.6710,627-527-4100,Derecho a Espacios de Refugio,Resguardo preventivo por personal del sitio
74,Centro Comunitario Héroes de la Revolución,Parral,Calle Plutarco Elías Calles s/n Col. Héroes de la Revolución,Héroes de la Revolución,prioritario,26.9420,-105.6625,627-522-0167,Derecho al Auxilio Comunitario,Aviso a Puerta Violeta Parral
75,DIF Municipal Meoqui,Meoqui,Calle Aldama #600,Zona Centro,prioritario,28.2690,-105.4815,639-473-0418,Asistencia Social Preventiva,Canalización a seguridad pública Meoqui
76,Presidencia Municipal de Meoqui,Meoqui,Calle Hidalgo y Av. Degollado,Zona Centro,prioritario,28.2675,-105.4830,639-473-0010,Derecho a la Protección del Municipio,Resguardo en zona de ventanillas únicas
77,Seguridad Pública Municipal Meoqui,Meoqui,Calle Aldama y Calle 3a,Zona Centro,prioritario,28.2710,-105.4855,911,Protección de Integridad Física,Resguardo oficial en comandancia
78,Biblioteca Municipal Paulita Verduzco,Meoqui,Calle Morelos s/n,Zona Centro,prioritario,28.2660,-105.4795,639-473-0010,Derecho a Espacios Libres de Violencia,Resguardo y enlace telefónico con autoridades
79,Instituto Municipal de las Mujeres Camargo,Camargo,Calle Abasolo y C. Jiménez,Zona Centro,prioritario,27.6710,-105.1712,648-462-5989,Ley de Vida Libre de Violencia,Acompañamiento y protección inmediata
80,Presidencia Municipal de Camargo,Camargo,Calle Allende y Calle Juarez,Zona Centro,prioritario,27.6785,-105.1690,648-462-8100,Derecho a la Seguridad Ciudadana,Resguardo en planta baja y aviso a policía
81,Biblioteca Municipal Manuel Gómez Morín,Camargo,Avenida Juarez y Calle Abasolo,Zona Centro,prioritario,27.6820,-105.1710,648-462-8100,Derecho a Espacios Seguros,Resguardo y enlace con Seguridad Pública
82,DIF Municipal Camargo,Camargo,Calle Venustiano Carranza y C. Jiménez,Zona Centro,prioritario,27.6755,-105.1720,648-462-2301,Derecho a la Asistencia y Protección,Resguardo por personal de guardia
83,Centro de Salud Camargo,Camargo,Avenida Juarez y Calle Agustín Melgar,Zona Centro,prioritario,27.6690,-105.1655,648-462-0260,Derecho a la Salud y Seguridad,Atención de crisis y aviso a autoridades
84,Presidencia Municipal de Ojinaga,Ojinaga,Calle Trasvia y Retes s/n,Zona Centro,prioritario,29.5645,-104.4115,626-453-0304,Derecho a la Protección Municipal,Resguardo en comandancia local
85,DIF Municipal Ojinaga,Ojinaga,Calle Zaragoza y 5 de Mayo,Zona Centro,prioritario,29.5620,-104.4135,626-453-1510,Asistencia Social Inmediata,Resguardo y enlace con Instituto de la Mujer
86,Instituto Municipal de las Mujeres NCG,Nuevo Casas Grandes,Avenida Constitución #402,Zona Centro,prioritario,30.4130,-107.9120,636-694-0130,Ley de Vida Libre de Violencia,Asesoría y resguardo de emergencia
87,Presidencia Municipal NCG,Nuevo Casas Grandes,Avenida Constitución y C. 2 de Abril,Zona Centro,prioritario,30.4155,-107.9145,636-694-2500,Seguridad y Justicia Municipal,Resguardo por oficiales de presidencia
88,DIF Municipal Juan Aldama,Aldama,Calle Constitución y C. Juarez,Zona Centro,prioritario,28.8350,-105.9120,614-451-0264,Protección y Resguardo Familiar,Enlace directo con policía municipal Aldama
89,Presidencia Municipal Guadalupe y Calvo,Guadalupe y Calvo,Calle Principal s/n,Zona Centro,prioritario,26.0950,-106.9630,649-537-0201,Seguridad en Zonas Prioritarias,Resguardo en oficina de guardia
90,DIF Municipal Saucillo,Saucillo,Avenida Sexta e Hidalgo,Zona Centro,prioritario,29.0430,-106.2820,639-475-0158,Derecho a la Seguridad Ciudadana,Resguardo y enlace con policía Saucillo
91,Presidencia Municipal de Casas Grandes,Casas Grandes,Calle Constitución y C. 16 de Septiembre,Zona Centro,prioritario,30.3850,-107.9470,636-692-4015,Protección Municipal y Seguridad,Resguardo en zona segura de presidencia
92,Presidencia Municipal San Buenaventura,San Buenaventura,Calle Principal s/n,Zona Centro,prioritario,29.8430,-107.4580,636-664-0010,Derecho al Auxilio Inmediato,Resguardo por personal administrativo y seguridad
93,DIF Municipal Manuel Benavides,Manuel Benavides,Calle Principal s/n,Zona Centro,prioritario,29.1120,-103.9210,911,Asistencia en Zonas Fronterizas,Resguardo y aviso a patrulla local
94,Presidencia Municipal Aquiles Serdán,Santa Eulalia,Calle Minería s/n,Zona Centro,prioritario,28.5865,-105.8910,614-453-6110,Seguridad Ciudadana Regional,Resguardo en comandancia de Santa Eulalia
95,DIF Municipal Guachochi,Guachochi,Calle Abraham González s/n,Zona Centro,prioritario,26.8220,-107.0715,649-543-0262,Derecho a la Seguridad Indígena y Social,Atención bilingüe y resguardo preventivo
96,Presidencia Municipal de Ascensión,Ascensión,Calle México y Av. Juarez,Zona Centro,prioritario,31.1025,-107.9912,636-662-0050,Derecho a la Protección Fronteriza,Resguardo y enlace con seguridad municipal
97,DIF Municipal Carichí,Carichí,Calle Principal s/n,Zona Centro,prioritario,27.9220,-107.1150,635-588-5100,Derecho a la Asistencia Social,Resguardo y enlace con policía seccional
98,Presidencia Municipal de Bachíniva,Bachíniva,Calle Francisco I. Madero s/n,Zona Centro,prioritario,28.7890,-107.2560,625-592-5015,Seguridad y Protección Municipal,Resguardo en palacio municipal
99,DIF Municipal Gomez Farías,Gómez Farías,Calle 5 de Mayo s/n,Zona Centro,prioritario,29.3580,-107.7410,636-665-0212,Derecho a la Seguridad Ciudadana,Resguardo y aviso a Seguridad Pública
100,Presidencia Municipal de San Francisco de Conchos,San Francisco de Conchos,Calle Principal s/n,Zona Centro,prioritario,29.2520,-107.4110,648-466-0012,Derecho a la Protección del Estado,Resguardo y enlace con destacamento regional
101,DIF Municipal Namiquipa,Namiquipa,Calle 3a y Constitución,Zona Centro,prioritario,26.9450,-107.4110,659-576-0024,Ley de Derecho a la Seguridad y Auxilio,Resguardo preventivo y aviso a policía local
102,Presidencia Municipal de Julimes,Julimes,Calle Libertad s/n,Zona Centro,prioritario,28.4180,-105.4280,639-473-5005,Derecho a la Protección Ciudadana,Resguardo en oficinas de seguridad municipal
103,DIF Municipal San Francisco del Oro,San Francisco del Oro,Calle Vicente Guerrero s/n,Zona Centro,prioritario,26.8520,-105.8450,628-525-0010,Derecho a la Asistencia Social,Enlace con seguridad pública municipal
104,Presidencia Municipal Praxedis G. Guerrero,Praxedis G. Guerrero,Avenida Benito Juarez s/n,Zona Centro,prioritario,28.5475,-107.4830,656-661-0015,Seguridad y Justicia Municipal,Resguardo en área de guardia
105,DIF Municipal Cusihuiriachi,Cusihuiriachi,Calle Principal s/n,Zona Centro,prioritario,28.2330,-106.8330,625-585-0012,Derecho al Auxilio Inmediato,Resguardo y enlace con comandancia Cuauhtémoc
106,Presidencia Municipal de Bocoyna,Bocoyna,Calle Principal s/n,Zona Centro,prioritario,27.8430,-107.6010,635-588-0020,Derecho a la Seguridad en Zonas Rurales,Resguardo por agentes de policía municipal
107,Estación de Tren Chepe Creel,Bocoyna,Avenida Adolfo Lopez Mateos Creel,Creel,prioritario,27.7510,-107.6350,635-586-0044,Seguridad Turística y Ciudadana,Enlace con policía turística y resguardo en estación
108,DIF Municipal Maguarichi,Maguarichi,Calle Principal s/n,Zona Centro,prioritario,27.8680,-107.9950,911,Protección Integral y Social,Resguardo y aviso a brigada rural
109,Presidencia Municipal de Urique,Urique,Calle Principal s/n,Zona Centro,prioritario,27.2150,-107.9180,635-456-6005,Seguridad en Región Serrana,Resguardo en comandancia municipal
110,DIF Municipal Batopilas,Batopilas,Plaza Principal s/n,Zona Centro,prioritario,27.0250,-107.7420,911,Protección a la Integridad Física,Atención inmediata por personal de guardia
111,Presidencia Municipal de Uruachi,Uruachi,Calle Principal s/n,Zona Centro,prioritario,27.8630,-108.2150,911,Derecho a la Protección del Estado,Resguardo en oficina de presidencia
112,DIF Municipal Balleza,Balleza,Calle General Mariano Balleza s/n,Zona Centro,prioritario,26.9450,-106.3450,649-535-0015,Asistencia Social Preventiva,Resguardo y canalización a seguridad local
113,Presidencia Municipal de Temósachic,Temósachic,Calle Principal s/n,Zona Centro,prioritario,28.9480,-107.8480,652-574-0010,Derecho a la Seguridad Ciudadana,Resguardo por personal administrativo y oficial
114,DIF Municipal Huejotitlán,Huejotitlán,Calle Principal s/n,Zona Centro,prioritario,27.0620,-106.1850,911,Derecho a la Asistencia y Seguridad,Enlace con destacamento regional de seguridad
115,Presidencia Municipal de Satevó,Satevó,Calle Principal s/n,Zona Centro,prioritario,26.8520,-105.8450,614-451-5010,Seguridad Ciudadana Regional,Resguardo en zona segura de presidencia
116,DIF Municipal Chínipas,Chínipas,Calle Principal s/n,Zona Centro,prioritario,27.3950,-108.5330,911,Protección y Resguardo de Emergencia,Activación de protocolo de seguridad rural
117,Presidencia Municipal de Matachí,Matachí,Calle Principal s/n,Zona Centro,prioritario,28.8520,-107.7650,652-572-0015,Seguridad y Justicia Municipal,Resguardo y enlace con policía estatal
118,Instancia de la Mujer Santa Bárbara,Santa Bárbara,Calle Macroplaza s/n,Zona Centro,prioritario,26.8035,-105.8122,628-524-0010,Ley de Acceso a una Vida Libre de Violencia,Atención psicológica y resguardo de emergencia
119,DIF Municipal Nonoava,Nonoava,Calle Principal s/n,Zona Centro,prioritario,27.4691,-106.7533,911,Derecho a la Protección Social,Resguardo y aviso a seguridad pública
120,Presidencia Municipal de Rosales,Rosales,Calle Libertad y 2a,Zona Centro,prioritario,28.1872,-105.5539,639-467-0015,Seguridad y Justicia Municipal,Resguardo en comandancia de Rosales
121,DIF Municipal Janos,Janos,Calle Principal s/n,Zona Centro,prioritario,30.8872,-108.1919,636-661-4010,Protección Fronteriza y Social,Resguardo y enlace con seguridad municipal
122,Presidencia Municipal de El Tule,El Tule,Calle Principal s/n,Zona Centro,prioritario,27.0500,-106.2500,911,Derecho al Auxilio Ciudadano,Resguardo preventivo por personal de guardia
123,DIF Municipal Moris,Moris,Calle Principal s/n,Zona Centro,prioritario,28.1400,-108.5200,911,Derecho a la Asistencia Social,Enlace con brigada de seguridad rural
124,Instituto de la Mujer Jiménez,Jiménez,Calle Hidalgo y C. Jimenez,Zona Centro,prioritario,27.1332,-105.0614,629-542-0010,Ley de Acceso a una Vida Libre de Violencia,Acompañamiento legal y refugio temporal
125,Presidencia Municipal de Ahumada,Ahumada,Avenida Miguel Ahumada s/n,Zona Centro,prioritario,30.6190,-106.5120,656-664-2015,Seguridad en Zonas de Tránsito,Resguardo por oficiales de seguridad pública
126,DIF Municipal Guerrero,Guerrero,Calle 2a y Morelos,Zona Centro,prioritario,28.3290,-107.5950,635-586-0210,Derecho a la Protección y Resguardo,Atención por personal de trabajo social
127,Presidencia Municipal de Galeana,Galeana,Calle Principal s/n,Zona Centro,prioritario,30.1110,-107.6150,636-663-0010,Derecho a la Seguridad Ciudadana,Resguardo en zona de ventanillas oficiales
128,DIF Municipal Ocampo,Ocampo,Calle Principal s/n,Zona Centro,prioritario,28.1150,-108.3550,911,Derecho a la Seguridad en Montaña,Resguardo y aviso a destacamento forestal
129,Farmacia del Ahorro,Chihuahua,Calle Ocampo y 20 de noviembre,Zona Centro,prioritario,28.6315,-106.0728,614-200-4801,Protección a la Integridad Física,Llamada inmediata a FEM y resguardo interno
130,Farmacia del Ahorro (Universidad),Chihuahua,Cerca de la UACh Campus 1,Norte,prioritario,28.6521,-106.0854,614-200-4801,Derecho a la Seguridad Estudiantil,Llamada inmediata a FEM y resguardo interno
